id;province_id;city_id;city_name;pinyin;pinyin_first
644;8;230109;松北区;song'bei'qu;s'b'q
645;8;230110;香坊区;xiang'fang'qu;x'f'q
646;8;230111;呼兰区;hu'lan'qu;h'l'q
647;8;230112;阿城区;a'cheng'qu;a'c'q
648;8;230123;依兰县;yi'lan'xian;y'l'x
649;8;230124;方正县;fang'zheng'xian;f'z'x
650;8;230125;宾县;bin'xian;b'x
651;8;230126;巴彦县;ba'yan'xian;b'y'x
652;8;230127;木兰县;mu'lan'xian;m'l'x
653;8;230128;通河县;tong'he'xian;t'h'x
654;8;230129;延寿县;yan'shou'xian;y's'x
655;8;230182;双城市;shuang'cheng'shi;s'c's
656;8;230183;尚志市;shang'zhi'shi;s'z's
657;8;230184;五常市;wu'chang'shi;w'c's
658;8;230200;齐齐哈尔市;qi'qi'ha'er'shi;q'q'h'e's
659;8;230202;龙沙区;long'sha'qu;l's'q
660;8;230203;建华区;jian'hua'qu;j'h'q
661;8;230204;铁锋区;tie'feng'qu;t'f'q
662;8;230205;昂昂溪区;ang'ang'xi'qu;a'a'x'q
663;8;230206;富拉尔基区;fu'la'er'ji'qu;f'l'e'j'q
664;8;230207;碾子山区;nian'zi'shan'qu;n'z's'q
665;8;230208;梅里斯达斡尔族区;mei'li'si'da'wo'er'zu'qu;m'l's'd'w'e'z'q
666;8;230221;龙江县;long'jiang'xian;l'j'x
667;8;230223;依安县;yi'an'xian;y'a'x
668;8;230224;泰来县;tai'lai'xian;t'l'x
669;8;230225;甘南县;gan'nan'xian;g'n'x
670;8;230227;富裕县;fu'yu'xian;f'y'x
671;8;230229;克山县;ke'shan'xian;k's'x
672;8;230230;克东县;ke'dong'xian;k'd'x
673;8;230231;拜泉县;bai'quan'xian;b'q'x
674;8;230281;讷河市;ne'he'shi;n'h's
675;8;230300;鸡西市;ji'xi'shi;j'x's
676;8;230302;鸡冠区;ji'guan'qu;j'g'q
677;8;230303;恒山区;heng'shan'qu;h's'q
678;8;230304;滴道区;di'dao'qu;d'd'q
679;8;230305;梨树区;li'shu'qu;l's'q
680;8;230306;城子河区;cheng'zi'he'qu;c'z'h'q
681;8;230307;麻山区;ma'shan'qu;m's'q
682;8;230321;鸡东县;ji'dong'xian;j'd'x
683;8;230381;虎林市;hu'lin'shi;h'l's
684;8;230382;密山市;mi'shan'shi;m's's
685;8;230400;鹤岗市;he'gang'shi;h'g's
686;8;230402;向阳区;xiang'yang'qu;x'y'q
687;8;230403;工农区;gong'nong'qu;g'n'q
688;8;230404;南山区;nan'shan'qu;n's'q
689;8;230405;兴安区;xing'an'qu;x'a'q
690;8;230406;东山区;dong'shan'qu;d's'q
691;8;230407;兴山区;xing'shan'qu;x's'q
692;8;230421;萝北县;luo'bei'xian;l'b'x
693;8;230422;绥滨县;sui'bin'xian;s'b'x
694;8;230500;双鸭山市;shuang'ya'shan'shi;s'y's's
695;8;230502;尖山区;jian'shan'qu;j's'q
696;8;230503;岭东区;ling'dong'qu;l'd'q
697;8;230505;四方台区;si'fang'tai'qu;s'f't'q
